# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	60582
#@/user_id	windows11-caoayu-pc-i512400
bao xiu 	保修	c=1 d=1.35732e-06 t=60582
bao xiu 	保修 	c=0 d=0 t=60582
bao yan 	保研	c=1 d=1.51716e-51 t=60582
bao yan 	保研 	c=0 d=0 t=60582
bao zha 	爆炸	c=4 d=2.49242e-05 t=60582
bao zha 	爆炸 	c=0 d=0 t=60582
bao zhang 	報賬	c=1 d=9.13406e-53 t=60582
bao zhang 	報賬 	c=0 d=0 t=60582
bao zheng 	保證	c=3 d=0.0735345 t=60582
bao zheng 	保證 	c=0 d=0 t=60582
bao zhuang 	包裝	c=3 d=0.000668991 t=60582
bao zhuang 	包裝 	c=0 d=0 t=60582
bao zuo 	寶座	c=1 d=4.97346e-19 t=60582
bao zuo 	寶座 	c=0 d=0 t=60582
bei 	倍	c=2 d=3.81243e-09 t=60582
bei 	倍 	c=0 d=0 t=60582
bei 	北	c=5 d=0.00384878 t=60582
bei 	北 	c=0 d=0 t=60582
bei 	唄	c=15 d=0.500068 t=60582
bei 	唄 	c=0 d=0 t=60582
bei 	被	c=41 d=2.3288 t=60582
bei 	被 	c=0 d=0 t=60582
bei an 	備案	c=23 d=2.9782 t=60582
bei an 	備案 	c=0 d=0 t=60582
bei an ren 	備案人	c=1 d=0.000111666 t=60582
bei bao 	背包	c=1 d=0.341298 t=60582
bei bao 	背包 	c=0 d=0 t=60582
bei dian 	備點	c=1 d=0.680451 t=60582
bei fang 	北方	c=2 d=0.00190171 t=60582
bei fang 	北方 	c=0 d=0 t=60582
bei fen 	備份	c=12 d=0.965822 t=60582
bei fen 	備份 	c=0 d=0 t=60582
bei feng 	北風	c=6 d=4.00858e-11 t=60582
bei feng 	北風 	c=0 d=0 t=60582
bei hou 	背後	c=3 d=0.0125254 t=60582
bei hou 	背後 	c=0 d=0 t=60582
bei hua 	北化	c=2 d=0.00458078 t=60582
bei jing 	北京	c=25 d=0.86133 t=60582
bei jing 	北京 	c=0 d=0 t=60582
bei jing 	背景	c=2 d=1.3871e-26 t=60582
bei jing 	背景 	c=0 d=0 t=60582
bei jing li gong 	北京理工	c=1 d=1.81051e-13 t=60582
bei ke da 	北科大	c=2 d=0.0378169 t=60582
bei ke da 	北科大 	c=0 d=0 t=60582
bei li gong 	北理工	c=6 d=0.120789 t=60582
bei li gong 	北理工 	c=0 d=0 t=60582
bei lin 	北林	c=1 d=0.00276698 t=60582
bei lin 	北林 	c=0 d=0 t=60582
bei ni 	被你	c=1 d=7.98924e-07 t=60582
bei ni 	被你 	c=0 d=0 t=60582
bei ren 	被人	c=6 d=0.00069264 t=60582
bei ren 	被人 	c=0 d=0 t=60582
bei shang 	悲傷	c=1 d=0.402524 t=60582
bei shang 	悲傷 	c=0 d=0 t=60582
bei wo 	被我	c=2 d=1.53089e-10 t=60582
bei wo 	被我 	c=0 d=0 t=60582
bei wo 	被窩	c=1 d=1.0417e-10 t=60582
bei wo 	被窩 	c=0 d=0 t=60582
bei yong 	備用	c=1 d=3.51262e-16 t=60582
bei yong 	備用 	c=0 d=0 t=60582
bei zhu 	備註	c=28 d=0.0246005 t=60582
bei zhu 	備註 	c=0 d=0 t=60582
bei zi 	杯子	c=1 d=0.00238156 t=60582
bei zi 	杯子 	c=0 d=0 t=60582
ben 	本	c=5 d=0.436084 t=60582
ben 	本 	c=0 d=0 t=60582
ben di 	本地	c=29 d=1.90999 t=60582
ben di 	本地 	c=0 d=0 t=60582
ben ke 	本科	c=3 d=5.01878e-05 t=60582
ben ke 	本科 	c=0 d=0 t=60582
ben lai 	本來	c=10 d=0.759572 t=60582
ben lai 	本來 	c=0 d=0 t=60582
ben shen 	本身	c=1 d=0.000209665 t=60582
ben shen 	本身 	c=0 d=0 t=60582
ben sheng 	本省	c=1 d=1.0165e-16 t=60582
ben sheng 	本省 	c=0 d=0 t=60582
ben wen 	本文	c=1 d=1.22619e-46 t=60582
ben wen 	本文 	c=0 d=0 t=60582
beng 	崩	c=3 d=1.01878 t=60582
beng 	崩 	c=0 d=0 t=60582
beng kui 	崩潰	c=1 d=0.0735345 t=60582
beng kui 	崩潰 	c=0 d=0 t=60582
beng le 	崩了	c=1 d=8.82797e-05 t=60582
beng le 	崩了 	c=0 d=0 t=60582
bi 	比	c=25 d=1.01249 t=60582
bi 	比 	c=0 d=0 t=60582
bi bao 	閉包	c=1 d=1.55477e-45 t=60582
bi bao 	閉包 	c=0 d=0 t=60582
bi bi 	嗶嗶	c=1 d=2.95985e-31 t=60582
bi bi 	嗶嗶 	c=0 d=0 t=60582
bi dui 	比對	c=1 d=1.02937e-17 t=60582
bi dui 	比對 	c=0 d=0 t=60582
bi he 	閉合	c=1 d=2.47311e-35 t=60582
bi he 	閉合 	c=0 d=0 t=60582
bi ji 	筆記	c=17 d=0.742293 t=60582
bi ji 	筆記 	c=0 d=0 t=60582
bi ji ben 	筆記本	c=15 d=0.465343 t=60582
bi ji ben 	筆記本 	c=0 d=0 t=60582
bi jiao 	比較	c=12 d=0.0630718 t=60582
