# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	3578
#@/user_id	windows11-caoayu-pc-i512400
bu guo 	不过	c=2 d=0.142226 t=3578
bu guo 	不過 	c=0 d=0 t=3578
bu guo qi 	不過七 	c=0 d=0 t=3578
bu guo qu 	不過去 	c=0 d=0 t=3578
bu hai shi 	不還是 	c=0 d=0 t=3578
bu hao 	不好	c=2 d=0.579842 t=3578
bu hao 	不好 	c=0 d=0 t=3578
bu hao guan 	不好管 	c=0 d=0 t=3578
bu hao hao 	不好好 	c=0 d=0 t=3578
bu hao kan 	不好看 	c=0 d=0 t=3578
bu hao ma 	不好嗎 	c=0 d=0 t=3578
bu hao shi 	不好使 	c=0 d=0 t=3578
bu hao shuo 	不好說 	c=0 d=0 t=3578
bu hao wan 	不好玩	c=1 d=0.0706512 t=3578
bu hao yong 	不好用 	c=0 d=0 t=3578
bu hao zhao 	不好招 	c=0 d=0 t=3578
bu he fa 	不合法 	c=0 d=0 t=3578
bu he ge 	不合格 	c=0 d=0 t=3578
bu hua 	不化	c=1 d=0.092089 t=3578
bu hua 	不滑 	c=0 d=0 t=3578
bu hua liu 	不滑溜 	c=0 d=0 t=3578
bu huan 	不換 	c=0 d=0 t=3578
bu huan bao 	不環保 	c=0 d=0 t=3578
bu huan jing 	布環境 	c=0 d=0 t=3578
bu huang 	不黃 	c=0 d=0 t=3578
bu hui 	不会	c=1 d=0.0867261 t=3578
bu hui 	不回 	c=0 d=0 t=3578
bu hui 	不會 	c=0 d=0 t=3578
bu hui bian 	不會變 	c=0 d=0 t=3578
bu hui jia 	不回家 	c=0 d=0 t=3578
bu hui ka 	不會卡 	c=0 d=0 t=3578
bu hui qu 	不會取 	c=0 d=0 t=3578
bu hui xiang 	不會像 	c=0 d=0 t=3578
bu hui xie 	不會寫 	c=0 d=0 t=3578
bu huo 	捕獲 	c=0 d=0 t=3578
bu ji 	不急 	c=0 d=0 t=3578
bu ji de 	不記得 	c=0 d=0 t=3578
bu ji ji 	不積極 	c=0 d=0 t=3578
bu jia 	不加 	c=0 d=0 t=3578
bu jia ban 	不加班 	c=0 d=0 t=3578
bu jian rong 	不兼容 	c=0 d=0 t=3578
bu jian yi 	不建議 	c=0 d=0 t=3578
bu jiao 	不叫 	c=0 d=0 t=3578
